private_path,private_start_line,private_end_line,os_path,os_path_start_line,os_path_end_line,granularity
dataset_cpp/1/private/t_blueprint_mcarray_examples.cpp,154.0,212.0,dataset_cpp/1/open_source/imgui_impl_dx9.cpp,105.0,216.0,function
dataset_cpp/2/private/Axis.cpp,53.0,64.0,dataset_cpp/2/open_source/imgui_impl_opengl3.cpp,156.0,170.0,fragment
dataset_cpp/3/private/AxisPyImp.cpp,71.0,79.0,dataset_cpp/3/open_source/imgui_impl_sdl.cpp,242.0,252.0,fragment
dataset_cpp/4/private/Debugger.cpp,67.0,87.0,dataset_cpp/4/open_source/imgui_impl_sdl.cpp,343.0,370.0,function
dataset_cpp/5/private/DualQuaternion.cpp,116.0,131.0,dataset_cpp/5/open_source/AutoTransaction.cpp,66.0,88.0,function
dataset_cpp/6/private/Exception.cpp,87.0,111.0,dataset_cpp/6/open_source/baselinedetect.cpp,148.0,179.0,block
dataset_cpp/7/private/ExceptionFactory.cpp,51.0,68.0,dataset_cpp/7/open_source/bbgrid.cpp,133.0,148.0,fragment
dataset_cpp/8/private/Factory.cpp,76.0,101.0,dataset_cpp/8/open_source/strokewidth.cpp,212.0,251.0,function
dataset_cpp/9/private/FileInfo.cpp,125.0,136.0,dataset_cpp/9/open_source/adaptmatch.cpp,108.0,117.0,fragment
dataset_cpp/10/private/FileTemplate.cpp,80.0,122.0,dataset_cpp/10/open_source/docqual.cpp,580.0,636.0,fragment
dataset_cpp/11/private/FreeCADGuiPy.cpp,237.0,281.0,dataset_cpp/11/open_source/docqual.cpp,801.0,858.0,fragment
dataset_cpp/12/private/FutureWatcherProgress.cpp,38.0,108.0,dataset_cpp/12/open_source/osdetect.cpp,471.0,556.0,fragment
dataset_cpp/13/private/GeometryPyCXX.cpp,162.0,211.0,dataset_cpp/13/open_source/pageiterator.cpp,147.0,203.0,block
dataset_cpp/14/private/InputSource.cpp,113.0,174.0,dataset_cpp/14/open_source/pageiterator.cpp,265.0,346.0,block
dataset_cpp/15/private/Interpreter.cpp,140.0,190.0,dataset_cpp/15/open_source/tfacepp.cpp,38.0,94.0,block
dataset_cpp/16/private/MainCmd.cpp,161.0,209.0,dataset_cpp/16/open_source/thresholder.cpp,65.0,119.0,function
dataset_cpp/17/private/MainGui.cpp,165.0,208.0,dataset_cpp/17/open_source/blobs.cpp,92.0,138.0,block
dataset_cpp/18/private/MainPy.cpp,253.0,306.0,dataset_cpp/18/open_source/shapeclassifier.cpp,98.0,156.0,function
dataset_cpp/19/private/Matrix.cpp,140.0,170.0,dataset_cpp/19/open_source/cluster.cpp,824.0,855.0,function
dataset_cpp/20/private/t_blueprint_mcarray_verify.cpp,78.0,101.0,dataset_cpp/20/open_source/chop.cpp,98.0,125.0,function
dataset_cpp/21/private/conduit_blueprint_o2mrelation_iterator.cpp,470.0,493.0,dataset_cpp/21/open_source/Application.cpp,555.0,578.0,function
dataset_cpp/22/private/conduit_blueprint_verify_exe.cpp,131.0,155.0,dataset_cpp/22/open_source/ApplicationPy.cpp,243.0,266.0,function
dataset_cpp/23/private/conduit_blueprint_zfparray.cpp,108.0,133.0,dataset_cpp/23/open_source/AutoTransaction.cpp,39.0,64.0,function
dataset_cpp/24/private/conduit_c.cpp,37.0,59.0,dataset_cpp/24/open_source/Branding.cpp,96.0,118.0,function
dataset_cpp/25/private/conduit_core.cpp,149.0,164.0,dataset_cpp/25/open_source/ColorModel.cpp,258.0,273.0,function
dataset_cpp/26/private/conduit_cpp_to_c.cpp,109.0,125.0,dataset_cpp/26/open_source/ComplexGeoData.cpp,172.0,186.0,function
dataset_cpp/27/private/conduit_cpp_to_c.hpp,57.0,94.0,dataset_cpp/27/open_source/ComplexGeoDataPyImp.cpp,46.0,83.0,function
dataset_cpp/28/private/conduit_data_array.cpp,753.0,774.0,dataset_cpp/28/open_source/Document.cpp,226.0,247.0,fragment
dataset_cpp/29/private/conduit_data_type.cpp,1420.0,1446.0,dataset_cpp/29/open_source/DocumentObject.cpp,284.0,310.0,function
dataset_cpp/30/private/conduit_datatype_c.cpp,198.0,227.0,dataset_cpp/30/open_source/DocumentObjectPyImp.cpp,76.0,106.0,function
dataset_cpp/31/private/conduit_endianness.cpp,163.0,179.0,dataset_cpp/31/open_source/DocumentObserver.cpp,176.0,192.0,function
dataset_cpp/32/private/conduit_error.cpp,113.0,132.0,dataset_cpp/32/open_source/DocumentPyImp.cpp,103.0,126.0,function
dataset_cpp/33/private/conduit_generator.cpp,2221.0,2246.0,dataset_cpp/33/open_source/DynamicProperty.cpp,149.0,182.0,function
dataset_cpp/34/private/conduit_log.cpp,168.0,188.0,dataset_cpp/34/open_source/Enumeration.cpp,162.0,189.0,function
dataset_cpp/35/private/conduit_node.cpp,15647.0,15666.0,dataset_cpp/35/open_source/Expression.cpp,352.0,377.0,function
dataset_cpp/36/private/conduit_node_c.cpp,4804.0,4818.0,dataset_cpp/36/open_source/ExtensionContainer.cpp,97.0,118.0,function
dataset_cpp/37/private/conduit_node_iterator.cpp,533.0,566.0,dataset_cpp/37/open_source/ExtensionContainerPyImp.cpp,45.0,88.0,function
dataset_cpp/38/private/conduit_relay.cpp,67.0,92.0,dataset_cpp/38/open_source/FeaturePython.cpp,66.0,95.0,function
dataset_cpp/39/private/conduit_relay_c.cpp,34.0,67.0,dataset_cpp/39/open_source/GeoFeature.cpp,96.0,139.0,function
